tag,dataset,seed,mode,placement,gens,pop,wall_ms,placed,total,n_sheets,fitness,bbox_width,util_strip,util_sheet,overlap_area
q4b-origin,concave,47,1,1,999,30,10056.1,45,45,1,1986810.631665,1525.847,0.67276,0.51326,0.000000
q4b-origin,rings,7,1,1,999,30,10026.4,26,26,1,1985578.692312,1028.054,0.53045,0.27267,0.000000
q4b-origin,rings,17,1,1,999,30,10011.2,26,26,1,1985578.692316,1028.054,0.53045,0.27267,0.000000
q4b-origin,rings,27,1,1,999,30,10010.9,26,26,1,1985578.692317,1028.054,0.53045,0.27267,0.000000
q4b-origin,rings,37,1,1,999,30,10031.3,26,26,1,1985578.692316,1028.054,0.53045,0.27267,0.000000
q4b-origin,rings,47,1,1,999,30,10024.2,26,26,1,1985578.692312,1028.054,0.53045,0.27267,0.000000
q5-comp0,rects,7,1,1,999,30,10015.9,28,28,1,1986304.948424,1221.349,0.89836,0.54860,0.000000
q5-comp0,rects,17,1,1,999,30,10006.6,28,28,1,1986304.948424,1221.349,0.89836,0.54860,0.000000
q5-comp0,rects,27,1,1,999,30,10008.9,28,28,1,1986305.953962,1221.349,0.89836,0.54860,0.000000
q5-comp0,rects,37,1,1,999,30,10016.7,28,28,1,1986304.948424,1221.349,0.89836,0.54860,0.000000
q5-comp0,rects,47,1,1,999,30,10005.8,28,28,1,1986298.518498,1220.398,0.89906,0.54860,0.000000
q5-comp0,concave,7,1,1,999,30,10026.1,45,45,1,1986947.912682,1545.914,0.66403,0.51326,0.000000
q5-comp0,concave,17,1,1,999,30,10031.6,45,45,1,1986901.729146,1499.191,0.68472,0.51326,0.000000
q5-comp0,concave,27,1,1,999,30,10014.1,45,45,1,1986888.508386,1517.875,0.67629,0.51326,0.000000
q5-comp0,concave,37,1,1,999,30,10041.9,45,45,1,1986920.808229,1495.355,0.68648,0.51326,0.000000
q5-comp0,concave,47,1,1,999,30,10017.6,45,45,1,1986887.359933,1506.589,0.68136,0.51326,0.000000
q5-comp4,rects,7,1,1,999,30,10011.7,28,28,1,1986181.077103,1220.398,0.89906,0.54860,0.000000
q5-comp4,rects,17,1,1,999,30,10030.5,28,28,1,1986175.857333,1217.788,0.90098,0.54860,0.000000
q5-comp4,rects,27,1,1,999,30,10023.0,28,28,1,1986155.756048,1206.891,0.90912,0.54860,0.000000
